a,b,c,model,accuracy,std
0.7,0.5,0.6,eta_bench,0.753,0.008
0.7,0.5,0.6,gemma,0.786,0.01
0.7,0.5,0.7,eta,0.861,0.005
0.7,0.5,0.7,eta0,0.914,0.006
0.7,0.5,0.7,eta0_bench,0.913,0.005
0.7,0.5,0.7,eta1,0.811,0.006
0.7,0.5,0.7,eta1_bench,0.547,0.011
0.7,0.5,0.7,eta_bench,0.726,0.008
0.7,0.5,0.7,gemma,0.777,0.012
0.7,0.5,0.8,eta,0.846,0.005
0.7,0.5,0.8,eta0,0.896,0.007
0.7,0.5,0.8,eta0_bench,0.89,0.006
0.7,0.5,0.8,eta1,0.811,0.006
0.7,0.5,0.8,eta1_bench,0.546,0.012
0.7,0.5,0.8,eta_bench,0.688,0.009
0.7,0.5,0.8,gemma,0.765,0.012
0.7,0.5,0.9,eta,0.83,0.006
0.7,0.5,0.9,eta0,0.866,0.012
0.7,0.5,0.9,eta0_bench,0.836,0.012
0.7,0.5,0.9,eta1,0.811,0.006
0.7,0.5,0.9,eta1_bench,0.545,0.013
0.7,0.5,0.9,eta_bench,0.639,0.01
0.7,0.5,0.9,gemma,0.754,0.015
