a,b,c,seed,model,metric,value
0.3,0.1,0.5,8499,eta_bench,ACC,0.7610712410292316
0.3,0.1,0.5,2258,eta0,AUC,0.8317198930623039
0.3,0.1,0.5,2258,eta0,F,0.6164705882352941
0.3,0.1,0.5,2258,eta0,ACC,0.7833023132145706
0.3,0.1,0.5,2258,eta0_bench,AUC,0.8317198930623039
0.3,0.1,0.5,2258,eta0_bench,F,0.12366412213740459
0.3,0.1,0.5,2258,eta0_bench,ACC,0.6947620313746344
0.3,0.1,0.5,2258,eta1,AUC,0.8325302729808279
0.3,0.1,0.5,2258,eta1,F,0.44932162809257786
0.3,0.1,0.5,2258,eta1,ACC,0.8199608610567515
0.3,0.1,0.5,2258,eta1_bench,AUC,0.5562481405615414
0.3,0.1,0.5,2258,eta1_bench,F,0.020618556701030927
0.3,0.1,0.5,2258,eta1_bench,ACC,0.7893020221787345
0.3,0.1,0.5,2258,eta,AUC,0.8472322301579465
0.3,0.1,0.5,2258,eta,F,0.517573315424222
0.3,0.1,0.5,2258,eta,ACC,0.8113950638893751
0.3,0.1,0.5,2258,eta_bench,AUC,0.8304521338448927
0.3,0.1,0.5,2258,eta_bench,F,0.07986577181208053
0.3,0.1,0.5,2258,eta_bench,ACC,0.7600210047260634
0.3,0.1,0.5,8570,eta0,AUC,0.8367690462566957
0.3,0.1,0.5,8570,eta0,F,0.6008624820316243
0.3,0.1,0.5,8570,eta0,ACC,0.7785163520340335
0.3,0.1,0.5,8570,eta0_bench,AUC,0.8367690462566957
0.3,0.1,0.5,8570,eta0_bench,F,0.1480927449513837
0.3,0.1,0.5,8570,eta0_bench,ACC,0.6971550119649029
0.3,0.1,0.5,8570,eta1,AUC,0.818353059491042
0.3,0.1,0.5,8570,eta1,F,0.43528441879637264
0.3,0.1,0.5,8570,eta1,ACC,0.8212654924983692
0.3,0.1,0.5,8570,eta1_bench,AUC,0.42984997511252276
0.3,0.1,0.5,8570,eta1_bench,F,0.012202562538133007
0.3,0.1,0.5,8570,eta1_bench,ACC,0.7887801696020874
0.3,0.1,0.5,8570,eta,AUC,0.8423809648509276
0.3,0.1,0.5,8570,eta,F,0.5021645021645021
0.3,0.1,0.5,8570,eta,ACC,0.8087694731314545
0.3,0.1,0.5,8570,eta_bench,AUC,0.8376478071873459
0.3,0.1,0.5,8570,eta_bench,F,0.06425431180250253
0.3,0.1,0.5,8570,eta_bench,ACC,0.7578330124277962
0.3,0.1,0.5,3288,eta0,AUC,0.846878667093383
0.3,0.1,0.5,3288,eta0,F,0.649059982094897
0.3,0.1,0.5,3288,eta0,ACC,0.7915448019143845
0.3,0.1,0.5,3288,eta0_bench,AUC,0.846878667093383
0.3,0.1,0.5,3288,eta0_bench,F,0.113584036838066
0.3,0.1,0.5,3288,eta0_bench,ACC,0.69290082424887
0.3,0.1,0.5,3288,eta1,AUC,0.8203695963344796
0.3,0.1,0.5,3288,eta1,F,0.4301982285955293
0.3,0.1,0.5,3288,eta1,ACC,0.8237442922374429
0.3,0.1,0.5,3288,eta1_bench,AUC,0.5645369118120485
0.3,0.1,0.5,3288,eta1_bench,F,0.0073439412484700125
0.3,0.1,0.5,3288,eta1_bench,ACC,0.7883887801696021
0.3,0.1,0.5,3288,eta,AUC,0.8404906278388403
0.3,0.1,0.5,3288,eta,F,0.5152877697841728
0.3,0.1,0.5,3288,eta,ACC,0.8113075441974444
0.3,0.1,0.5,3288,eta_bench,AUC,0.8386793844255852
0.3,0.1,0.5,3288,eta_bench,F,0.056481796529431784
0.3,0.1,0.5,3288,eta_bench,ACC,0.7573078942762121
0.3,0.1,0.5,1042,eta0,AUC,0.8398190981415211
0.3,0.1,0.5,1042,eta0,F,0.6068080907745437
0.3,0.1,0.5,1042,eta0,ACC,0.7880882743951076
0.3,0.1,0.5,1042,eta0_bench,AUC,0.8398190981415211
0.3,0.1,0.5,1042,eta0_bench,F,0.11692307692307694
0.3,0.1,0.5,1042,eta0_bench,ACC,0.6947620313746344
0.3,0.1,0.5,1042,eta1,AUC,0.83300441706935
0.3,0.1,0.5,1042,eta1,F,0.46914526638558834
0.3,0.1,0.5,1042,eta1,ACC,0.8193085453359426
0.3,0.1,0.5,1042,eta1_bench,AUC,0.5249283798231952
0.3,0.1,0.5,1042,eta1_bench,F,0.008557457212713936
0.3,0.1,0.5,1042,eta1_bench,ACC,0.7883887801696021
0.3,0.1,0.5,1042,eta,AUC,0.8510401156586106
0.3,0.1,0.5,1042,eta,F,0.5215642458100559
0.3,0.1,0.5,1042,eta,ACC,0.8126203395764047
