a,b,c,model,accuracy,std
0.7,0.5,0.7,eta1_bench,0.118,0.008
0.7,0.5,0.7,eta_bench,0.795,0.004
0.7,0.5,0.7,gemma,0.926,0.001
0.7,0.5,0.8,eta,0.937,0.001
0.7,0.5,0.8,eta0,0.906,0.004
0.7,0.5,0.8,eta0_bench,0.877,0.009
0.7,0.5,0.8,eta1,0.946,0.001
0.7,0.5,0.8,eta1_bench,0.128,0.009
0.7,0.5,0.8,eta_bench,0.784,0.004
0.7,0.5,0.8,gemma,0.936,0.001
0.7,0.5,0.9,eta,0.947,0.001
0.7,0.5,0.9,eta0,0.946,0.003
0.7,0.5,0.9,eta0_bench,0.885,0.008
0.7,0.5,0.9,eta1,0.946,0.001
0.7,0.5,0.9,eta1_bench,0.135,0.007
0.7,0.5,0.9,eta_bench,0.773,0.004
0.7,0.5,0.9,gemma,0.946,0.001
