a,b,c,model,accuracy,std
0.7,0.6,0.5,eta_bench,0.406,0.003
0.7,0.6,0.5,gemma,0.441,0.003
0.7,0.7,0.5,eta,0.707,0.002
0.7,0.7,0.5,eta0,0.942,0.004
0.7,0.7,0.5,eta0_bench,0.937,0.004
0.7,0.7,0.5,eta1,0.942,0.0
0.7,0.7,0.5,eta1_bench,0.123,0.009
0.7,0.7,0.5,eta_bench,0.403,0.003
0.7,0.7,0.5,gemma,0.437,0.005
0.7,0.8,0.5,eta,0.718,0.003
0.7,0.8,0.5,eta0,0.952,0.003
0.7,0.8,0.5,eta0_bench,0.94,0.005
0.7,0.8,0.5,eta1,0.942,0.0
0.7,0.8,0.5,eta1_bench,0.126,0.008
0.7,0.8,0.5,eta_bench,0.4,0.001
0.7,0.8,0.5,gemma,0.433,0.003
0.7,0.9,0.5,eta,0.728,0.003
0.7,0.9,0.5,eta0,0.961,0.003
0.7,0.9,0.5,eta0_bench,0.942,0.004
0.7,0.9,0.5,eta1,0.942,0.0
0.7,0.9,0.5,eta1_bench,0.128,0.008
0.7,0.9,0.5,eta_bench,0.397,0.001
0.7,0.9,0.5,gemma,0.428,0.002
