a,b,c,seed,model,metric,value
0.3,0.1,0.5,9698,eta,AUC,0.5965225826918253
0.3,0.1,0.5,9698,eta,F,0.6744749596122778
0.3,0.1,0.5,9698,eta,ACC,0.5870901639344263
0.3,0.1,0.5,9698,eta_bench,AUC,0.6752188436059616
0.3,0.1,0.5,9698,eta_bench,F,0.4437380801017165
0.3,0.1,0.5,9698,eta_bench,ACC,0.5517418032786885
0.3,0.1,0.5,4285,eta0,AUC,0.9628629792772653
0.3,0.1,0.5,4285,eta0,F,0.9574902543159457
0.3,0.1,0.5,4285,eta0,ACC,0.9255768605784855
0.3,0.1,0.5,4285,eta0_bench,AUC,0.9628629792772653
0.3,0.1,0.5,4285,eta0_bench,F,0.9364216947860069
0.3,0.1,0.5,4285,eta0_bench,ACC,0.8916152096197595
0.3,0.1,0.5,4285,eta1,AUC,0.4769160196194743
0.3,0.1,0.5,4285,eta1,F,0.2508868107062238
0.3,0.1,0.5,4285,eta1,ACC,0.5820439006836992
0.3,0.1,0.5,4285,eta1_bench,AUC,0.5674495052339257
0.3,0.1,0.5,4285,eta1_bench,F,0.20950200343445907
0.3,0.1,0.5,4285,eta1_bench,ACC,0.7515293270960777
0.3,0.1,0.5,4285,eta,AUC,0.6147342056216786
0.3,0.1,0.5,4285,eta,F,0.6811066126855602
0.3,0.1,0.5,4285,eta,ACC,0.5964822404371585
0.3,0.1,0.5,4285,eta_bench,AUC,0.6688104393414298
0.3,0.1,0.5,4285,eta_bench,F,0.441281889099726
0.3,0.1,0.5,4285,eta_bench,ACC,0.5474726775956285
0.3,0.1,0.5,1150,eta0,AUC,0.9663961081350343
0.3,0.1,0.5,1150,eta0,F,0.9606663581675151
0.3,0.1,0.5,1150,eta0,ACC,0.930939226519337
0.3,0.1,0.5,1150,eta0_bench,AUC,0.9663961081350343
0.3,0.1,0.5,1150,eta0_bench,F,0.9411541381928626
0.3,0.1,0.5,1150,eta0_bench,ACC,0.8992525186870328
0.3,0.1,0.5,1150,eta1,AUC,0.4748062916301457
0.3,0.1,0.5,1150,eta1,F,0.24721248805352025
0.3,0.1,0.5,1150,eta1,ACC,0.5748470672903923
0.3,0.1,0.5,1150,eta1_bench,AUC,0.5604631293769755
0.3,0.1,0.5,1150,eta1_bench,F,0.20856201975850713
0.3,0.1,0.5,1150,eta1_bench,ACC,0.7405541561712846
0.3,0.1,0.5,1150,eta,AUC,0.6077560982832778
0.3,0.1,0.5,1150,eta,F,0.6815514333895446
0.3,0.1,0.5,1150,eta,ACC,0.5969091530054644
0.3,0.1,0.5,1150,eta_bench,AUC,0.6705004338208889
0.3,0.1,0.5,1150,eta_bench,F,0.46021727884117947
0.3,0.1,0.5,1150,eta_bench,ACC,0.5545594262295082
0.3,0.1,0.5,8616,eta0,AUC,0.9664781738260373
0.3,0.1,0.5,8616,eta0,F,0.9592290585618978
0.3,0.1,0.5,8616,eta0,ACC,0.9285017874553136
0.3,0.1,0.5,8616,eta0_bench,AUC,0.9664781738260373
0.3,0.1,0.5,8616,eta0_bench,F,0.9409306742640076
0.3,0.1,0.5,8616,eta0_bench,ACC,0.8989275268118297
0.3,0.1,0.5,8616,eta1,AUC,0.47735537720564153
0.3,0.1,0.5,8616,eta1,F,0.24314737181554336
0.3,0.1,0.5,8616,eta1,ACC,0.5777258006477151
0.3,0.1,0.5,8616,eta1_bench,AUC,0.5633510478180418
0.3,0.1,0.5,8616,eta1_bench,F,0.19358469330332023
0.3,0.1,0.5,8616,eta1_bench,ACC,0.7421734436847787
0.3,0.1,0.5,8616,eta,AUC,0.6162947941942036
0.3,0.1,0.5,8616,eta,F,0.6836555360281195
0.3,0.1,0.5,8616,eta,ACC,0.6004098360655737
0.3,0.1,0.5,8616,eta_bench,AUC,0.6719336805196696
0.3,0.1,0.5,8616,eta_bench,F,0.44654683065279094
0.3,0.1,0.5,8616,eta_bench,ACC,0.5504610655737705
0.3,0.1,0.5,251,eta0,AUC,0.9635174962044618
0.3,0.1,0.5,251,eta0,F,0.9642987916514097
0.3,0.1,0.5,251,eta0,ACC,0.9366265843353916
0.3,0.1,0.5,251,eta0_bench,AUC,0.9635174962044618
0.3,0.1,0.5,251,eta0_bench,F,0.9483568075117371
0.3,0.1,0.5,251,eta0_bench,ACC,0.910627234319142
0.3,0.1,0.5,251,eta1,AUC,0.46701811584579467
0.3,0.1,0.5,251,eta1,F,0.24002533248891703
0.3,0.1,0.5,251,eta1,ACC,0.5681899964015833
0.3,0.1,0.5,251,eta1_bench,AUC,0.5664219396954968
0.3,0.1,0.5,251,eta1_bench,F,0.1876484560570071
0.3,0.1,0.5,251,eta1_bench,ACC,0.7538682979489025
0.3,0.1,0.5,251,eta,AUC,0.6124037027558882
0.3,0.1,0.5,251,eta,F,0.6900779636169788
0.3,0.1,0.5,251,eta,ACC,0.6028859289617486
0.3,0.1,0.5,251,eta_bench,AUC,0.6631403906018287
0.3,0.1,0.5,251,eta_bench,F,0.43426506536295045
0.3,0.1,0.5,251,eta_bench,ACC,0.5455088797814208
0.3,0.1,0.5,3640,eta0,AUC,0.9641975510564809
0.3,0.1,0.5,3640,eta0,F,0.9596811567337102
0.3,0.1,0.5,3640,eta0,ACC,0.9293142671433214
0.3,0.1,0.5,3640,eta0_bench,AUC,0.9641975510564809
0.3,0.1,0.5,3640,eta0_bench,F,0.9383092155369384
0.3,0.1,0.5,3640,eta0_bench,ACC,0.8947026324341891
0.3,0.1,0.5,3640,eta1,AUC,0.4681277612019584
0.3,0.1,0.5,3640,eta1,F,0.2445669802140772
0.3,0.1,0.5,3640,eta1,ACC,0.5809643756747032
0.3,0.1,0.5,3640,eta1_bench,AUC,0.5631916838573161
0.3,0.1,0.5,3640,eta1_bench,F,0.20865704772475027
0.3,0.1,0.5,3640,eta1_bench,ACC,0.7434328895286074
0.3,0.1,0.5,3640,eta,AUC,0.6036742183857795
0.3,0.1,0.5,3640,eta,F,0.6759040216289287
0.3,0.1,0.5,3640,eta,ACC,0.5905908469945356
0.3,0.1,0.5,3640,eta_bench,AUC,0.6642234396694316
0.3,0.1,0.5,3640,eta_bench,F,0.4475379181383753
0.3,0.1,0.5,3640,eta_bench,ACC,0.5459357923497268
0.3,0.1,0.5,8840,eta0,AUC,0.9655978327770944
0.3,0.1,0.5,8840,eta0,F,0.962806113054686
0.3,0.1,0.5,8840,eta0,ACC,0.9343516412089697
0.3,0.1,0.5,8840,eta0_bench,AUC,0.9655978327770944
0.3,0.1,0.5,8840,eta0_bench,F,0.9448165267427602
0.3,0.1,0.5,8840,eta0_bench,ACC,0.9049398765030874
0.3,0.1,0.5,8840,eta1,AUC,0.480889605042984
0.3,0.1,0.5,8840,eta1,F,0.25188092901537457
0.3,0.1,0.5,8840,eta1,ACC,0.5885210507376755
0.3,0.1,0.5,8840,eta1_bench,AUC,0.5637463220863694
0.3,0.1,0.5,8840,eta1_bench,F,0.18233295583238956
0.3,0.1,0.5,8840,eta1_bench,ACC,0.7401943145016193
0.3,0.1,0.5,8840,eta,AUC,0.6146822159161188
0.3,0.1,0.5,8840,eta,F,0.6849885768041929
0.3,0.1,0.5,8840,eta,ACC,0.5997267759562842
0.3,0.1,0.5,8840,eta_bench,AUC,0.6582604776980466
0.3,0.1,0.5,8840,eta_bench,F,0.4331008243500318
0.3,0.1,0.5,8840,eta_bench,ACC,0.5420081967213115
0.3,0.1,0.5,8233,eta0,AUC,0.9665464662542149
0.3,0.1,0.5,8233,eta0,F,0.9560848529959062
0.3,0.1,0.5,8233,eta0,ACC,0.9233019174520637
0.3,0.1,0.5,8233,eta0_bench,AUC,0.9665464662542149
0.3,0.1,0.5,8233,eta0_bench,F,0.9396100808368997
0.3,0.1,0.5,8233,eta0_bench,ACC,0.8968150796230094
0.3,0.1,0.5,8233,eta1,AUC,0.4759579913648342
0.3,0.1,0.5,8233,eta1,F,0.2627013630731103
0.3,0.1,0.5,8233,eta1,ACC,0.5717884130982368
0.3,0.1,0.5,8233,eta1_bench,AUC,0.5659641372064679
0.3,0.1,0.5,8233,eta1_bench,F,0.20838052095130236
0.3,0.1,0.5,8233,eta1_bench,ACC,0.7484706729039223
0.3,0.1,0.5,8233,eta,AUC,0.5955358850865974
0.3,0.1,0.5,8233,eta,F,0.6700203942895989
0.3,0.1,0.5,8233,eta,ACC,0.5855532786885246
0.3,0.1,0.5,8233,eta_bench,AUC,0.6759101750703977
0.3,0.1,0.5,8233,eta_bench,F,0.4425657825213991
0.3,0.1,0.5,8233,eta_bench,ACC,0.5496072404371585
0.3,0.1,0.5,5667,eta0,AUC,0.966522936930221
0.3,0.1,0.5,5667,eta0,F,0.9573459715639809
0.3,0.1,0.5,5667,eta0,ACC,0.925414364640884
0.3,0.1,0.5,5667,eta0_bench,AUC,0.966522936930221
0.3,0.1,0.5,5667,eta0_bench,F,0.9406956852309446
0.3,0.1,0.5,5667,eta0_bench,ACC,0.8986025349366266
0.3,0.1,0.5,5667,eta1,AUC,0.4894882498590809
0.3,0.1,0.5,5667,eta1,F,0.26273630246715796
0.3,0.1,0.5,5667,eta1,ACC,0.586002159050018
0.3,0.1,0.5,5667,eta1_bench,AUC,0.562164302767916
0.3,0.1,0.5,5667,eta1_bench,F,0.2164599774520857
0.3,0.1,0.5,5667,eta1_bench,ACC,0.7499100395825836
0.3,0.1,0.5,5667,eta,AUC,0.6221591013618282
0.3,0.1,0.5,5667,eta,F,0.6876868714324545
0.3,0.1,0.5,5667,eta,ACC,0.6075819672131147
0.3,0.1,0.5,5667,eta_bench,AUC,0.6682692438563977
0.3,0.1,0.5,5667,eta_bench,F,0.45144466465004696
0.3,0.1,0.5,5667,eta_bench,ACC,0.5509733606557377
0.3,0.1,0.5,4688,eta0,AUC,0.9626888048911151
0.3,0.1,0.5,4688,eta0,F,0.9577543079488605
0.3,0.1,0.5,4688,eta0,ACC,0.9259018524536886
0.3,0.1,0.5,4688,eta0_bench,AUC,0.9626888048911151
0.3,0.1,0.5,4688,eta0_bench,F,0.9381002186935439
0.3,0.1,0.5,4688,eta0_bench,ACC,0.8942151446213845
0.3,0.1,0.5,4688,eta1,AUC,0.4833689688856623
0.3,0.1,0.5,4688,eta1,F,0.2683229813664596
0.3,0.1,0.5,4688,eta1,ACC,0.5761065131342209
0.3,0.1,0.5,4688,eta1_bench,AUC,0.5666215135444611
0.3,0.1,0.5,4688,eta1_bench,F,0.210989010989011
0.3,0.1,0.5,4688,eta1_bench,ACC,0.7416336811802807
0.3,0.1,0.5,4688,eta,AUC,0.6203666829745231
0.3,0.1,0.5,4688,eta,F,0.6874283788338389
0.3,0.1,0.5,4688,eta,ACC,0.6040812841530054
0.3,0.1,0.5,4688,eta_bench,AUC,0.6725169942471806
0.3,0.1,0.5,4688,eta_bench,F,0.4657080790317575
0.3,0.1,0.5,4688,eta_bench,ACC,0.5589993169398907
0.3,0.1,0.5,8928,eta0,AUC,0.964395254766625
0.3,0.1,0.5,8928,eta0,F,0.9637181960135942
0.3,0.1,0.5,8928,eta0,ACC,0.9358141046473838
0.3,0.1,0.5,8928,eta0_bench,AUC,0.964395254766625
0.3,0.1,0.5,8928,eta0_bench,F,0.9484477892756351
0.3,0.1,0.5,8928,eta0_bench,ACC,0.9109522261943451
0.3,0.1,0.5,8928,eta1,AUC,0.45304315074355095
0.3,0.1,0.5,8928,eta1,F,0.23052157115260785
0.3,0.1,0.5,8928,eta1,ACC,0.56998920474991
0.3,0.1,0.5,8928,eta1_bench,AUC,0.5630435712873361
0.3,0.1,0.5,8928,eta1_bench,F,0.20438799076212474
0.3,0.1,0.5,8928,eta1_bench,ACC,0.7520690896005757
0.3,0.1,0.5,8928,eta,AUC,0.5932910545549399
0.3,0.1,0.5,8928,eta,F,0.6796234028244789
0.3,0.1,0.5,8928,eta,ACC,0.5932377049180327
0.3,0.1,0.5,8928,eta_bench,AUC,0.6790498387735815
0.3,0.1,0.5,8928,eta_bench,F,0.44264219400277455
0.3,0.1,0.5,8928,eta_bench,ACC,0.554047131147541
0.3,0.1,0.5,1408,eta0,AUC,0.9645900890470136
0.3,0.1,0.5,1408,eta0,F,0.9604947387853056
0.3,0.1,0.5,1408,eta0,ACC,0.9304517387065323
0.3,0.1,0.5,1408,eta0_bench,AUC,0.9645900890470136
0.3,0.1,0.5,1408,eta0_bench,F,0.9427679500520291
0.3,0.1,0.5,1408,eta0_bench,ACC,0.9016899577510562
0.3,0.1,0.5,1408,eta1,AUC,0.45749113906866523
0.3,0.1,0.5,1408,eta1,F,0.23422291993720568
0.3,0.1,0.5,1408,eta1,ACC,0.561173083843109
0.3,0.1,0.5,1408,eta1_bench,AUC,0.5663929811980037
0.3,0.1,0.5,1408,eta1_bench,F,0.18699186991869918
0.3,0.1,0.5,1408,eta1_bench,ACC,0.7481108312342569
0.3,0.1,0.5,1408,eta,AUC,0.6065538438205912
0.3,0.1,0.5,1408,eta,F,0.6841259209645011
0.3,0.1,0.5,1408,eta,ACC,0.5973360655737705
0.3,0.1,0.5,1408,eta_bench,AUC,0.669146607529623
0.3,0.1,0.5,1408,eta_bench,F,0.4372759856630825
0.3,0.1,0.5,1408,eta_bench,ACC,0.5442281420765027
0.3,0.1,0.5,8462,eta0,AUC,0.9613117655515201
0.3,0.1,0.5,8462,eta0,F,0.9584912637515023
0.3,0.1,0.5,8462,eta0,ACC,0.9270393240168996
0.3,0.1,0.5,8462,eta0_bench,AUC,0.9613117655515201
0.3,0.1,0.5,8462,eta0_bench,F,0.9349709606779015
0.3,0.1,0.5,8462,eta0_bench,ACC,0.8890152746181346
0.3,0.1,0.5,8462,eta1,AUC,0.4794265553479889
0.3,0.1,0.5,8462,eta1,F,0.2513626162231484
0.3,0.1,0.5,8462,eta1,ACC,0.579884850665707
0.3,0.1,0.5,8462,eta1_bench,AUC,0.5541669617851124
0.3,0.1,0.5,8462,eta1_bench,F,0.19965772960638903
0.3,0.1,0.5,8462,eta1_bench,ACC,0.7475710687297589
0.3,0.1,0.5,8462,eta,AUC,0.6102969231397415
0.3,0.1,0.5,8462,eta,F,0.6813364832939589
0.3,0.1,0.5,8462,eta,ACC,0.5969091530054644
0.3,0.1,0.5,8462,eta_bench,AUC,0.659287259426088
0.3,0.1,0.5,8462,eta_bench,F,0.431343441840738
0.3,0.1,0.5,8462,eta_bench,ACC,0.5420935792349727
0.3,0.1,0.5,8312,eta0,AUC,0.959848356376289
0.3,0.1,0.5,8312,eta0,F,0.9586761578996025
0.3,0.1,0.5,8312,eta0,ACC,0.9273643158921027
0.3,0.1,0.5,8312,eta0_bench,AUC,0.959848356376289
0.3,0.1,0.5,8312,eta0_bench,F,0.9385623397588073
0.3,0.1,0.5,8312,eta0_bench,ACC,0.8948651283717907
0.3,0.1,0.5,8312,eta1,AUC,0.4863308513872043
0.3,0.1,0.5,8312,eta1,F,0.24852844996729886
0.3,0.1,0.5,8312,eta1,ACC,0.586541921554516
0.3,0.1,0.5,8312,eta1_bench,AUC,0.5722082901722606
0.3,0.1,0.5,8312,eta1_bench,F,0.21857304643261607
0.3,0.1,0.5,8312,eta1_bench,ACC,0.7517092479309104
0.3,0.1,0.5,8312,eta,AUC,0.6172685093298039
0.3,0.1,0.5,8312,eta,F,0.6882154882154882
0.3,0.1,0.5,8312,eta,ACC,0.6046789617486339
0.3,0.1,0.5,8312,eta_bench,AUC,0.6668247496724096
0.3,0.1,0.5,8312,eta_bench,F,0.4484314342671284
0.3,0.1,0.5,8312,eta_bench,ACC,0.5511441256830601
0.3,0.1,0.5,2629,eta0,AUC,0.9628342849797118
0.3,0.1,0.5,2629,eta0,F,0.962969786293294
0.3,0.1,0.5,2629,eta0,ACC,0.9346766330841729
0.3,0.1,0.5,2629,eta0_bench,AUC,0.9628342849797118
0.3,0.1,0.5,2629,eta0_bench,F,0.9415215745647237
0.3,0.1,0.5,2629,eta0_bench,ACC,0.8995775105622359
0.3,0.1,0.5,2629,eta1,AUC,0.4880355293096884
0.3,0.1,0.5,2629,eta1,F,0.26339004410838057
0.3,0.1,0.5,2629,eta1,ACC,0.5793450881612091
0.3,0.1,0.5,2629,eta1_bench,AUC,0.5667954489784475
0.3,0.1,0.5,2629,eta1_bench,F,0.19885714285714284
0.3,0.1,0.5,2629,eta1_bench,ACC,0.7477509895645916
0.3,0.1,0.5,2629,eta,AUC,0.6206455069362733
0.3,0.1,0.5,2629,eta,F,0.6895020188425303
0.3,0.1,0.5,2629,eta,ACC,0.6060450819672131
0.3,0.1,0.5,2629,eta_bench,AUC,0.6729758677128224
0.3,0.1,0.5,2629,eta_bench,F,0.4506691565515094
0.3,0.1,0.5,2629,eta_bench,ACC,0.5478995901639344
0.3,0.1,0.5,9375,eta0,AUC,0.9650724401888887
0.3,0.1,0.5,9375,eta0,F,0.9614993998707413
0.3,0.1,0.5,9375,eta0,ACC,0.9322391940201495
0.3,0.1,0.5,9375,eta0_bench,AUC,0.9650724401888887
0.3,0.1,0.5,9375,eta0_bench,F,0.939667458432304
0.3,0.1,0.5,9375,eta0_bench,ACC,0.8968150796230094
0.3,0.1,0.5,9375,eta1,AUC,0.4941976024577464
0.3,0.1,0.5,9375,eta1,F,0.2721518987341772
0.3,0.1,0.5,9375,eta1,ACC,0.5861820798848507
0.3,0.1,0.5,9375,eta1_bench,AUC,0.5749748411524965
0.3,0.1,0.5,9375,eta1_bench,F,0.23399558498896253
0.3,0.1,0.5,9375,eta1_bench,ACC,0.750269881252249
0.3,0.1,0.5,9375,eta,AUC,0.6273315984486247
0.3,0.1,0.5,9375,eta,F,0.6889977847888836
0.3,0.1,0.5,9375,eta,ACC,0.6044228142076503
0.3,0.1,0.5,9375,eta_bench,AUC,0.667368846769317
0.3,0.1,0.5,9375,eta_bench,F,0.47235872235872234
0.3,0.1,0.5,9375,eta_bench,ACC,0.5599385245901639
0.3,0.1,0.5,5744,eta0,AUC,0.9681912233899845
0.3,0.1,0.5,5744,eta0,F,0.9644501749861853
0.3,0.1,0.5,5744,eta0,ACC,0.9372765680857978
0.3,0.1,0.5,5744,eta0_bench,AUC,0.9681912233899845
0.3,0.1,0.5,5744,eta0_bench,F,0.948935368381383
0.3,0.1,0.5,5744,eta0_bench,ACC,0.9119272018199545
0.3,0.1,0.5,5744,eta1,AUC,0.47038043718846556
0.3,0.1,0.5,5744,eta1,F,0.23615257048092866
0.3,0.1,0.5,5744,eta1,ACC,0.5856423173803527
0.3,0.1,0.5,5744,eta1_bench,AUC,0.5578985500830759
0.3,0.1,0.5,5744,eta1_bench,F,0.2074688796680498
0.3,0.1,0.5,5744,eta1_bench,ACC,0.7594458438287154
0.3,0.1,0.5,5744,eta,AUC,0.6176211000429408
0.3,0.1,0.5,5744,eta,F,0.6920770307189978
0.3,0.1,0.5,5744,eta,ACC,0.6054474043715847
0.3,0.1,0.5,5744,eta_bench,AUC,0.6815440882724176
0.3,0.1,0.5,5744,eta_bench,F,0.44269279931827865
0.3,0.1,0.5,5744,eta_bench,ACC,0.5532786885245902
0.3,0.1,0.5,81,eta0,AUC,0.9657671291326603
0.3,0.1,0.5,81,eta0,F,0.9571933742788015
0.3,0.1,0.5,81,eta0,ACC,0.9252518687032825
